question,answer
"Question：患者,男性,63岁。多饮、多尿2周,嗜睡2天,有脱水表现。血压90/60mmHg,血尿
素氮42.9mmol/L,血钠150mmol/L,尿酮体(-)。经诊断为糖尿病非酮症高渗性昏迷。
该患者需要采取的治疗措施为
Option A：大剂量胰岛素+等张盐水
Option B：小剂量胰岛素+等张盐水
Option C：大剂量胰岛素+低张盐水
Option D：小剂量胰岛素+低张盐水
Option E：小剂量胰岛素+低张盐水+碳酸氢钠",B：小剂量胰岛素+等张盐水
"Question：患者,男性,71岁。糖尿病史14年,长期口服二甲双胍,空腹血糖维持在7~9mmol/L,
尿清蛋白排泄率为240mg/24h,LDL-C 5.08mmol/L。查体:血压160/95mmHg,心、肺未
见明显异常,双下肢可见轻度凹陷性水肿。有关该患者的治疗,下列叙述不正确的是
Option A：口服氢氯噻嗪
Option B：治疗高脂血症
Option C：使用胰岛素控制血糖
Option D：限制蛋白质摄入量
Option E：口服血管紧张素转化酶抑制药(ACEI)",A：口服氢氯噻嗪
"Question：患者,男性,52岁。肥胖,近来体重略有减轻,无明显“三多一少”症状,空腹血糖
7.8mmol/L。诊断考虑可能为
Option A：单纯性肥胖
Option B：皮质醇增多症
Option C：慢性肝病
Option D：糖尿病
Option E：下丘脑综合征",D：糖尿病
"Question：患者,女性,50岁。确诊1型糖尿病。用中效胰岛素加二甲双胍治疗后血糖、尿糖均能
满意控制,1周来体温持续39℃、咳嗽,左下肺可闻及湿啰音,白细胞计数15.3×10°/L。
治疗除抗感染外宜
Option A：原治疗方案不变
Option B：加大中效胰岛素剂量
Option C：改用长效胰岛素
Option D：加大二甲双胍剂量
Option E：改用短效胰岛素",E：改用短效胰岛素
"Question：患者,男性,45岁。体检发现尿糖阳性,下列检查对诊断糖尿病最有意义的是
Option A：空腹血糖 9.2mmol/L
Option B：口服葡萄糖耐量试验呈糖耐量减低
Option C：餐后1小时血糖7.8mmol/L
Option D：尿糖检查证实为葡萄糖
Option E：空腹血浆胰岛素 6μU/L(正常值为5.25μU/L)",A：空腹血糖 9.2mmol/L
"Question：患者,男性,38岁。痛风急性发作1天。不宜在急性痛风性关节炎期加用的药物是
Option A：别嘌醇
Option B：秋水仙碱
Option C：非甾体抗炎药
Option D：糖皮质激素
Option E：ACTH",A：别嘌醇
"Question：患者,男性,67岁。10年2型糖尿病史,因血糖控制不理想而自行增加胰岛素用量,出
现昏迷,下列处理正确的为
Option A：立即喂食饼干或糖水
Option B：立查尿糖
Option C：立即抽血查血糖,并等待结果再行处理
Option D：立即抽血查血糖,同时静脉滴注5?0??萄糖液
Option E：立即抽血查血糖,同时静脉注射50??萄糖液60~100ml","E：立即抽血查血糖,同时静脉注射50??萄糖液60~100ml"
"Question：患者,男性,58岁。3年前被诊断为2型糖尿病,经饮食控制、运动并口服二甲双胍
0.5g,每天3次治疗,半年来空腹血糖增高至9~10mmol/L,身高167cm,体重60kg,应
加用的降糖药物是
Option A：阿卡波糖
Option B：瑞格列奈
Option C：格列齐特
Option D：格列喹酮
Option E：罗格列酮",C：格列齐特
"Question：患者,男性,58岁。明显肥胖,疑为糖尿病,下列叙述不正确的是
Option A：可没有明显的“三多一少”症状
Option B：尿糖检查可能阴性
Option C：空腹血糖一定升高
Option D：餐后2小时血糖>11.1mmol/L
Option E：可进行口服糖耐量试验",C：空腹血糖一定升高
"Question：患者,男性,81岁。患2型糖尿病合并肺源性心脏病(又称肺心病),长期服用磺脲类
药物加二甲双胍治疗至今,2天前因慢性支气管炎急性感染,出现明显发绀,甚至昏迷。
首先应考虑为
Option A：酮症酸中毒
Option B：糖尿病非酮症高渗性昏迷
Option C：乳酸性酸中毒
Option D：水中毒
Option E：低血糖",C：乳酸性酸中毒
"Question：患者,女性,52岁。昏迷,有明显脱水和呼吸深大,提示酮症酸中毒的表现为
Option A：呼吸有烂苹果味
Option B：呼吸大蒜味
Option C：舌、唇呈明显樱桃红色
Option D：库斯莫尔(Kussmaul)呼吸
Option E：血CO2CP 8.9mmol/L",A：呼吸有烂苹果味
"Question：患者,女性,35岁。妊娠6个月,无糖尿病病史,空腹血糖6mmol/L,餐后2小时血糖
9mmol/L,尿糖(+),治疗方案为
Option A：饮食疗法
Option B：饮食疗法+格列齐特
Option C：饮食疗法+胰岛素
Option D：饮食疗法+苯乙双胍
Option E：无须特殊治疗",E：无须特殊治疗
"Question：患者,男性,48岁。肥胖10年,口渴多饮3个月,经常在餐后3~5小时感到心悸、多
汗、饥饿感,进餐后缓解。空腹血糖8.3mmol/L,尿糖(+)。患者最可能诊断为
Option A：糖尿病
Option B：胰岛素性低血糖
Option C：胰岛素瘤
Option D：胰岛细胞增生症
Option E：2 型糖尿病,反应性低血糖","E：2 型糖尿病,反应性低血糖"
"Question：患者,女性,40岁。1个月来体重下降 5kg,伴口渴,心悸。食量正常,自测脉搏 92
次/分,其父患糖尿病。OGTT示空腹、60 分钟、120分钟血糖分别为5.59mmol/L、
14.8mmol/L、8.82mmol/L。糖化血红蛋白(HbA1c)5.5??患者可能诊断为
Option A：甲状腺炎
Option B：糖耐量减低
Option C：甲亢
Option D：糖尿病
Option E：自主神经功能紊乱",C：甲亢
"Question：患者,女性,48岁。糖尿病史12年,使用普通胰岛素治疗,午餐前尿糖(+++),增加
胰岛素剂量的最恰当时刻是
Option A：当天午餐前半小时
Option B：当天晚餐前半小时
Option C：次日午餐前半小时
Option D：次日早餐前半小时
Option E：即刻",D：次日早餐前半小时
"Question：患者,女性,48岁。糖尿病14年,应用胰岛素治疗中,餐前尿糖定性试验结果为绿黄
色,则胰岛素剂量应为
Option A：仍按昨天原先所用剂量不变
Option B：较原先所用剂量增加0~4U
Option C：较原先所用剂量增加4~8U
Option D：较原先所用剂量增加8~12U
Option E：较原先所用剂量增加12~16U",C：较原先所用剂量增加4~8U
"Question：患者,女性,54岁。肥胖,因宫颈癌准备行根治术,术前查空腹血糖9.6mmol/L,餐后
2小时血糖11.8mmol/L,既往无糖尿病史。控制血糖应给予的最主要治疗是
Option A：双胍类口服降糖药
Option B：磺脲类口服降糖药
Option C：α-葡萄糖苷酶抑制药
Option D：长效胰岛素
Option E：普通胰岛素",E：普通胰岛素
"Question：患者,男性,51岁。糖尿病。经胰岛素治疗3天后,主诉视物模糊,可能是由于
Option A：白内障形成
Option B：晶体渗透压变化
Option C：糖尿病视网膜病变
Option D：玻璃体混浊
Option E：视盘水肿",B：晶体渗透压变化
"Question：患者,男性,18岁。1型糖尿病2年,平时应用猪胰岛素治疗,饮食控制严格,血糖控
制满意。近2个月无明显诱因血糖控制不佳,胰岛素用量每天已达96U,未发生低血糖
反应,最可能的原因是
Option A：胰岛素过敏
Option B：使用过期胰岛素
Option C：体内产生胰岛素抗体
Option D：发生糖尿病肾病
Option E：体内对抗胰岛素的激素分泌过多",C：体内产生胰岛素抗体
"Question：患者,男性,54岁。2型糖尿病合并心力衰竭,空腹血糖(FPG)6.2mmol/L,2小时
血糖(PG)12.7mmol/L,尿糖(+)、尿酮(-)。下列应禁用的降糖药为
Option A：罗格列酮
Option B：二甲双胍
Option C：阿卡波糖
Option D：胰岛素
Option E：格列本脲",B：二甲双胍
"Question：患者,男性,64岁。身高167cm,体重76kg,近2个月出现烦渴、多饮、多尿,体重下
降9kg,至医院查空腹血糖为6.8mmol/L。下一步应该进行的诊断、检查或处理为
Option A：可能是尿崩症
Option B：可诊断为糖尿病
Option C：应测定尿糖以明确诊断
Option D：应进行 OGTT
Option E：可诊断为空腹血糖受损",D：应进行 OGTT
"Question：患者,男性,80岁。糖尿病病史10余年,口服降糖药7年,胰岛素治疗3年,血糖控
制可。出现下肢疼痛、发冷1个月,以行走时明显,休息后可缓解。查体:双侧足背动
脉搏动消失,皮肤完好。下一步需要首先进行的检查为
Option A：下肢神经诱发电位检查
Option B：下肢动脉超声检查
Option C：下肢骨密度检查
Option D：下肢关节X线检查
Option E：下肢肌电图检查",B：下肢动脉超声检查
"Question：患者,男性,51岁。身高170cm,体重80kg,有糖尿病家族史。查体:不同日2次分别
测空腹血糖为8mmol/L,多次尿糖(+)。治疗方案应首选
Option A：单纯控制饮食
Option B：控制饮食+格列齐特
Option C：控制饮食+格列本脲
Option D：控制饮食+体育锻炼
Option E：减肥",D：控制饮食+体育锻炼
"Question：患者,女性,60岁。2型糖尿病史15年,口服二甲双胍500mg,每天3次;格列齐特
120mg,每天2次。空腹血糖10mmol/L,糖化血红蛋白9.2??24小时尿清蛋白600mg,
血压160/90mmHg,关于此患者的诊断和治疗,下列叙述正确的是
Option A：患者为糖尿病肾病V期
Option B：患者每天蛋白摄入量应为1.2g/kg
Option C：患者的血压控制在140/90mmHg
Option D：应调整患者的口服降糖药剂量
Option E：应使用血管紧张素Ⅱ受体阻断药降低血压",E：应使用血管紧张素Ⅱ受体阻断药降低血压
"Question：患者,男性,21岁。“三多一少”症状2个月,血糖16.7mmol/L,尿糖(+)、尿酮
(-)。应首选的治疗药物为
Option A：磺脲类降糖药
Option B：双胍类降糖药
Option C：α-葡萄糖苷酶抑制药
Option D：噻唑烷二酮
Option E：胰岛素",E：胰岛素
"Question：患者,男性,54岁。糖尿病8年。该患者可能出现的,为糖尿病所特有的并发症是
Option A：高血脂
Option B：冠心病
Option C：脑梗死
Option D：下肢坏疽
Option E：肾小球硬化症",E：肾小球硬化症
"Question：患者,女性,48岁。身高154cm,体重62kg,因外阴瘙痒就诊。检查:血糖13mmol/L,
尿糖(++),血象未见异常。该患者治疗宜
Option A：控制饮食
Option B：控制饮食+格列齐特
Option C：控制饮食+格列喹酮
Option D：控制饮食+二甲双胍
Option E：控制饮食+胰岛素",D：控制饮食+二甲双胍
"Question：患者,女性,32 岁。妊娠3个月,无糖尿病史。其姐有糖尿病,最近测空腹血糖
7.0mmol/L,餐后血糖11.1mmol/L,该患者的诊断考虑为
Option A：妊娠合并2型糖尿病
Option B：妊娠糖尿病
Option C：妊娠合并糖耐量异常
Option D：2 型糖尿病
Option E：糖耐量异常",B：妊娠糖尿病
"Question：糖尿病患者,男性,52岁。使用短效胰岛素治疗后,白天血糖正常,早晨空腹血糖升
高,其原因不可能是
Option A：夜间胰岛素剂量不足
Option B：睡前加餐
Option C：Somogyi 反应
Option D：黎明现象
Option E：胰岛素受体数目减少",E：胰岛素受体数目减少
"Question：患者,女性,26岁。1型糖尿病。早晨出现感冒、食欲缺乏,常规注射胰岛素,家属发
现其神志不清。患者最可能的诊断为
Option A：高渗性昏迷
Option B：低血糖昏迷
Option C：酮症酸中毒昏迷
Option D：脑血管意外
Option E：尿毒症昏迷",B：低血糖昏迷
"Question：患者,男性,68岁。3个月前被诊断为2型糖尿病,近2个月活动后气促。查体:BMI
29.7kg/m2,血压170/100mmHg,双肺呼吸音清,心率88 次/分,双下肢水肿。经饮食
控制后空腹血糖5.6mmol/L,三餐后2小时血糖分别为9.7mmol/L、9.2mmol/L 和
8.8mmol/L。目前控制该患者血糖最适宜的选择是
Option A：继续饮食控制
Option B：中效胰岛素
Option C：格列本脲
Option D：罗格列酮
Option E：阿卡波糖",A：继续饮食控制
"Question：患者,男性,63岁。因糖尿病应用胰岛素治疗3年,平均每天40U,3天前在外吃饭后
出现腹泻、嗜睡、大汗淋漓,急诊入院。查体:脱水貌,血压140/80mmHg,心率120
次/分。对诊断最有意义的检查是
Option A：大便常规
Option B：血糖、酮体测定
Option C：心电图(ECG)
Option D：血电解质测定
Option E：血常规",B：血糖、酮体测定
"Question：患者,男性,60岁。2型糖尿病史10年,服二甲双胍500mg,每天3次;格列齐特
80mg,每天3次,右眼视力急剧下降,急查血糖为15mmol/L,眼底检查为右眼玻璃体
积血。关于该患者的诊断治疗不正确的是
Option A：诊断糖尿病视网膜病变IV期
Option B：患者可能存在神经病变
Option C：换用胰岛素治疗
Option D：应检查患者的24小时尿清蛋白
Option E：患者的糖化血红蛋白应控制在8??内",E：患者的糖化血红蛋白应控制在8??内
"Question：患者,女性,32岁。妊娠 28 周,2 小时糖耐量试验血糖水平依次为5.0mmol/L、
9.5mmol/L、10.0mmol/L及8.5mmol/L,1周后早餐后2小时血糖为8.7mmol/L,患者
系初次妊娠,既往无糖尿病史,诊断为
Option A：糖耐量正常
Option B：妊娠期糖耐量减低
Option C：妊娠糖尿病
Option D：糖尿病合并妊娠
Option E：特殊类型糖尿病",B：妊娠期糖耐量减低
"Question：患者,女性,65岁。有糖尿病病史半年,口服降糖药治疗,血糖控制欠佳1个月,改用
胰岛素治疗1天,血糖控制可,后出现视物模糊。具体诊断及处理措施为
Option A：糖尿病视网膜病变,加用改善微血管病变的治疗
Option B：糖尿病视网膜病变,强化胰岛素治疗使血糖达标
Option C：胰岛素的不良反应,继续原治疗方案可自然恢复
Option D：胰岛素过敏,立即停用胰岛素
Option E：胰岛素过量,出现低血糖反应,胰岛素减量","C：胰岛素的不良反应,继续原治疗方案可自然恢复"
"Question：患者,男性,41岁。4个月前体检诊断为2型糖尿病,无口渴、多尿症状,身高165cm,
体重66kg。经坚持饮食控制及运动锻炼后,近3个月空腹血糖5~6mmol/L,餐后血糖
10~13mmol/L,拟加用的药物为
Option A：双胍类降血糖药
Option B：磺脲类降糖药
Option C：短效胰岛素
Option D：α-葡萄糖苷酶抑制药
Option E：长效胰岛素",D：α-葡萄糖苷酶抑制药
"Question：患者,女性,60岁。糖尿病4年,饮食控制好,口服降糖药效果满意,近1年自觉症状
加重,空腹血糖11.1mmol/L,目前应该采取的措施为
Option A：换用胰岛素
Option B：减少热量的摄入
Option C：体育锻炼
Option D：减肥
Option E：少量多餐",A：换用胰岛素
